Date Time, Monitor ID, Location ID, O3(ppm)
13 dic 2019 09:58,1,1,0,040
13 dic 2019 09:59,1,1,0,027
13 dic 2019 10:00,1,1,0,024
13 dic 2019 10:01,1,1,0,021
13 dic 2019 10:02,1,1,0,033
13 dic 2019 10:03,1,1,0,127
13 dic 2019 10:04,1,1,0,161
13 dic 2019 10:05,1,1,0,108
13 dic 2019 10:06,1,1,0,055
13 dic 2019 10:07,1,1,0,033
13 dic 2019 10:08,1,1,0,026
13 dic 2019 10:09,1,1,0,022
13 dic 2019 10:10,1,1,0,020
13 dic 2019 10:11,1,1,0,019
13 dic 2019 10:12,1,1,0,019
13 dic 2019 10:13,1,1,0,017
13 dic 2019 10:14,1,1,0,018
13 dic 2019 10:15,1,1,0,018
13 dic 2019 10:16,1,1,0,018
13 dic 2019 10:17,1,1,0,018
13 dic 2019 10:18,1,1,0,018
13 dic 2019 10:19,1,1,0,018
13 dic 2019 10:20,1,1,0,018
13 dic 2019 10:21,1,1,0,017
13 dic 2019 10:22,1,1,0,017
13 dic 2019 10:23,1,1,0,018
13 dic 2019 10:24,1,1,0,018
13 dic 2019 10:25,1,1,0,017
13 dic 2019 10:26,1,1,0,017
13 dic 2019 10:27,1,1,0,018
13 dic 2019 10:28,1,1,0,018
13 dic 2019 10:29,1,1,0,017
13 dic 2019 10:30,1,1,0,017
13 dic 2019 10:31,1,1,0,017
13 dic 2019 10:32,1,1,0,016
13 dic 2019 10:33,1,1,0,016
13 dic 2019 10:34,1,1,0,016
13 dic 2019 10:35,1,1,0,017
13 dic 2019 10:36,1,1,0,016
13 dic 2019 10:37,1,1,0,017
13 dic 2019 10:38,1,1,0,016
13 dic 2019 10:39,1,1,0,017
13 dic 2019 10:40,1,1,0,018
13 dic 2019 10:41,1,1,0,017
13 dic 2019 10:42,1,1,0,017
13 dic 2019 10:43,1,1,0,019
13 dic 2019 10:44,1,1,0,018
13 dic 2019 10:45,1,1,0,017
13 dic 2019 10:46,1,1,0,017
13 dic 2019 10:47,1,1,0,017
13 dic 2019 10:48,1,1,0,017
13 dic 2019 10:49,1,1,0,017
13 dic 2019 10:50,1,1,0,017
13 dic 2019 10:51,1,1,0,017
13 dic 2019 10:52,1,1,0,033
13 dic 2019 10:53,1,1,0,043
13 dic 2019 10:54,1,1,0,050
13 dic 2019 10:55,1,1,0,056
13 dic 2019 10:56,1,1,0,060
13 dic 2019 10:57,1,1,0,063
13 dic 2019 10:58,1,1,0,067
13 dic 2019 10:59,1,1,0,069
13 dic 2019 11:00,1,1,0,072
13 dic 2019 11:01,1,1,0,067
13 dic 2019 11:02,1,1,0,037
13 dic 2019 11:03,1,1,0,026
13 dic 2019 11:04,1,1,0,022
13 dic 2019 11:05,1,1,0,020
13 dic 2019 11:06,1,1,0,018
13 dic 2019 11:07,1,1,0,018
13 dic 2019 11:08,1,1,0,018
13 dic 2019 11:09,1,1,0,017
13 dic 2019 11:10,1,1,0,017
13 dic 2019 11:11,1,1,0,017
13 dic 2019 11:12,1,1,0,035
13 dic 2019 11:13,1,1,0,054
13 dic 2019 11:14,1,1,0,062
13 dic 2019 11:15,1,1,0,068
13 dic 2019 11:16,1,1,0,073
13 dic 2019 11:17,1,1,0,075
13 dic 2019 11:18,1,1,0,078
13 dic 2019 11:19,1,1,0,080
13 dic 2019 11:20,1,1,0,080
13 dic 2019 11:21,1,1,0,082
13 dic 2019 11:22,1,1,0,050
13 dic 2019 11:23,1,1,0,032
13 dic 2019 11:24,1,1,0,024
13 dic 2019 11:25,1,1,0,021
13 dic 2019 11:26,1,1,0,020
13 dic 2019 11:27,1,1,0,018
13 dic 2019 11:28,1,1,0,018
13 dic 2019 11:29,1,1,0,018
13 dic 2019 11:30,1,1,0,018
13 dic 2019 11:31,1,1,0,018
13 dic 2019 11:32,1,1,0,018
13 dic 2019 11:33,1,1,0,017
13 dic 2019 11:34,1,1,0,018
13 dic 2019 11:35,1,1,0,018
13 dic 2019 11:36,1,1,0,017
13 dic 2019 11:37,1,1,0,017
13 dic 2019 11:38,1,1,0,018
13 dic 2019 11:39,1,1,0,017
13 dic 2019 11:40,1,1,0,018
13 dic 2019 11:41,1,1,0,017
13 dic 2019 11:42,1,1,0,045
13 dic 2019 11:43,1,1,0,058
13 dic 2019 11:44,1,1,0,066
13 dic 2019 11:45,1,1,0,071
13 dic 2019 11:46,1,1,0,076
13 dic 2019 11:47,1,1,0,079
13 dic 2019 11:48,1,1,0,081
13 dic 2019 11:49,1,1,0,082
13 dic 2019 11:50,1,1,0,084
13 dic 2019 11:51,1,1,0,077
13 dic 2019 11:52,1,1,0,042
13 dic 2019 11:53,1,1,0,029
13 dic 2019 11:54,1,1,0,023
13 dic 2019 11:55,1,1,0,019
13 dic 2019 11:56,1,1,0,019
13 dic 2019 11:57,1,1,0,019
13 dic 2019 11:58,1,1,0,018
13 dic 2019 11:59,1,1,0,018
13 dic 2019 12:00,1,1,0,018
13 dic 2019 12:01,1,1,0,017
13 dic 2019 12:02,1,1,0,039
13 dic 2019 12:03,1,1,0,061
13 dic 2019 12:04,1,1,0,071
13 dic 2019 12:05,1,1,0,077
13 dic 2019 12:06,1,1,0,080
13 dic 2019 12:07,1,1,0,084
13 dic 2019 12:08,1,1,0,085
13 dic 2019 12:09,1,1,0,088
13 dic 2019 12:10,1,1,0,087
13 dic 2019 12:11,1,1,0,089
13 dic 2019 12:12,1,1,0,053
13 dic 2019 12:13,1,1,0,032
13 dic 2019 12:14,1,1,0,025
13 dic 2019 12:15,1,1,0,021
13 dic 2019 12:16,1,1,0,019
13 dic 2019 12:17,1,1,0,018
13 dic 2019 12:18,1,1,0,019
13 dic 2019 12:19,1,1,0,019
13 dic 2019 12:20,1,1,0,018
13 dic 2019 12:21,1,1,0,018
13 dic 2019 12:22,1,1,0,018
13 dic 2019 12:23,1,1,0,018
13 dic 2019 12:24,1,1,0,018
13 dic 2019 12:25,1,1,0,018
13 dic 2019 12:26,1,1,0,018
13 dic 2019 12:27,1,1,0,017
13 dic 2019 12:28,1,1,0,017
13 dic 2019 12:29,1,1,0,016
13 dic 2019 12:30,1,1,0,017
13 dic 2019 12:31,1,1,0,017
13 dic 2019 12:32,1,1,0,047
13 dic 2019 12:33,1,1,0,063
13 dic 2019 12:34,1,1,0,071
13 dic 2019 12:35,1,1,0,078
13 dic 2019 12:36,1,1,0,082
13 dic 2019 12:37,1,1,0,085
13 dic 2019 12:38,1,1,0,087
13 dic 2019 12:39,1,1,0,088
13 dic 2019 12:40,1,1,0,088
13 dic 2019 12:41,1,1,0,080
13 dic 2019 12:42,1,1,0,043
13 dic 2019 12:43,1,1,0,029
13 dic 2019 12:44,1,1,0,022
13 dic 2019 12:45,1,1,0,021
